id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Elias;Watsica;Vickie.Simonis@yahoo.com;blushing opposite round;2023-12-04T04:38:54;15074;1734
2;Daryl;Ullrich;Alberto_Hessel55@gmail.com;eek;2023-12-03T19:54:31;16444;923
3;Rose;Gleason;Alanis27@yahoo.com;draw collate acidly;2023-12-03T17:38:42;27541;8456
4;Valentina;Lesch;Domenick.Schroeder@yahoo.com;as;2023-12-04T11:11:50;6339;16111
5;Haylie;Tremblay;Mittie24@yahoo.com;gah;2023-12-03T18:40:10;17957;4492
6;Jonathon;Hegmann;Earl77@gmail.com;befog;2023-12-04T09:10:43;4632;13927
7;Hailey;Wiegand;Elyssa_Harvey95@gmail.com;stealthily hmph;2023-12-03T21:12:45;1456;24842
8;Shad;Reinger;Moses_Murphy58@hotmail.com;next ouch from;2023-12-04T09:03:38;25703;19617
9;Karlee;Sipes;Sonya_Gerhold83@hotmail.com;longingly pfft offensively;2023-12-04T08:24:19;32568;22372
10;Orrin;Daniel;Delfina_Greenholt@yahoo.com;tender that angrily;2023-12-04T03:20:33;6400;15580
